city_area,state,ufo_shape,encounter_length,date_documented,latitude,longitude,year
reno,nv,cylinder,2.0,12/12/2009,39.5297222,-119.8127778,2009
kingsport,tn,cylinder,10.0,8/21/2011,36.5483333,-82.5619444,2011
orland park,il,circle,7200.0,10/11/2005,41.6302778,-87.8538889,2005
shenandoah county (over the town of),va,sphere,25.0,7/14/1999,38.485,-78.6252778,1999
fairfield,ia,sphere,1800.0,10/2/1999,41.0086111,-91.9625,1997
boise,id,formation,35.0,9/30/2013,43.6136111,-116.2025,2013
dunedin,fl,sphere,5.0,2/8/2011,28.0194444,-82.7719444,2011
okemos,mi,other,10.0,11/20/2002,42.7222222,-84.4275,2002
fayetteville,nc,disk,600.0,8/21/2011,35.0525,-78.8786111,2011
kent,wa,teardrop,90.0,5/15/2006,47.3811111,-122.2336111,1980
mayville,ny,teardrop,60.0,3/4/2008,42.2538889,-79.5047222,2007
huntington beach,ca,cross,180.0,5/15/2006,33.6602778,-117.9983333,2006
arlington,mo,oval,180.0,8/12/2008,37.9202778,-91.9708333,2008
phoenix,az,oval,60.0,8/11/2004,33.4483333,-112.0733333,2004
olympia,wa,light,1800.0,4/1/2001,47.0380556,-122.8994444,2001
ocala,fl,circle,600.0,4/13/2010,29.1869444,-82.1402778,2010
tamarac,fl,light,60.0,4/13/2010,26.2125,-80.25,2010
cape canaveral,fl,light,60.0,10/8/2007,28.4055556,-80.605,2000
orinda,ca,fireball,2.0,1/11/2005,37.8772222,-122.1786111,2005
pell city,al,oval,300.0,5/15/2013,33.5861111,-86.2861111,2013
clovis,ca,light,60.0,5/11/2005,36.8252778,-119.7019444,2005
escondido,ca,rectangle,300.0,4/18/2014,33.1191667,-117.0855556,2014
sacramento,ca,changing,300.0,12/23/2013,38.5816667,-121.4933333,2013
gorham,me,disk,25.0,2/3/2012,43.6794444,-70.4447222,2012
pinckney,mi,light,300.0,7/6/2011,42.4566667,-83.9463889,2011
worcester,ma,other,2.0,1/10/2009,42.2625,-71.8027778,2008
st. louis,mo,circle,2.0,6/3/2011,38.6272222,-90.1977778,2011
tinley park,il,formation,1800.0,11/9/2004,41.5733333,-87.7844444,2004
lewisburg,wv,triangle,900.0,8/5/2012,37.8016667,-80.4458333,2012
lyndhurst,oh,cigar,10.0,2/12/2004,41.52,-81.4888889,2004
naugatuck,ct,disk,3.0,7/3/2013,41.4858333,-73.0511111,2013
hampstead,nc,fireball,18.0,1/28/1999,34.3675,-77.7108333,1998
virginia beach,va,circle,600.0,3/4/2008,36.8527778,-75.9783333,2008
teasdale,ut,triangle,600.0,8/5/2001,38.2861111,-111.4766667,2001
antioch,ca,formation,1200.0,2/22/2002,38.005,-121.8047222,2002
tomball,tx,triangle,120.0,1/11/2002,30.0969444,-95.6158333,2002
south bend,in,triangle,20.0,2/14/2010,41.6833333,-86.25,2010
big rapids,mi,light,15.0,10/31/2008,43.6980556,-85.4836111,2008
columbus,oh,formation,120.0,11/19/2012,39.9611111,-82.9988889,2012
bristol,tn,disk,900.0,8/4/2003,36.595,-82.1888889,2003
bergenfield,nj,cigar,1200.0,3/18/2014,40.9275,-73.9977778,1976
atlanta,ga,light,900.0,6/14/2012,33.7488889,-84.3880556,2012
neenah,wi,triangle,600.0,1/12/2012,44.1858333,-88.4625,2011
lancaster,ca,circle,60.0,1/10/2009,34.6980556,-118.1358333,2008
tacoma,wa,light,10.0,4/26/1999,47.2530556,-122.4430556,1999
longwood,fl,triangle,60.0,5/15/2006,28.7027778,-81.3386111,2006
fort smith,ar,sphere,60.0,8/19/2012,35.3858333,-94.3983333,2012
everett,wa,circle,900.0,11/21/2010,47.9791667,-122.2008333,2010
salem,nh,sphere,2.0,7/16/2006,42.7883333,-71.2013889,1985
raquette lake  (golden beach campground),ny,light,3600.0,9/17/2003,43.8130556,-74.6577778,1999
silverdale (bangor submarine base),wa,light,5.0,2/16/1999,47.6447222,-122.6936111,1999
sacramento,ca,changing,3600.0,5/12/2009,38.5816667,-121.4933333,2009
nashville,tn,light,50.0,6/2/2013,36.1658333,-86.7844444,2013
columbus,oh,diamond,60.0,4/28/2001,39.9611111,-82.9988889,2001
palm bay,fl,oval,5.0,8/5/2009,28.0341667,-80.5888889,2009
agoura hills,ca,light,60.0,12/3/2004,34.1363889,-118.7736111,2004
placentia,ca,rectangle,60.0,1/24/2014,33.8722222,-117.8694444,2014
wallace,nc,chevron,10.0,2/4/2013,34.7355556,-77.9955556,2008
mckinney,tx,fireball,2.0,10/30/2006,33.1975,-96.615,2006
sacramento,ca,circle,2.0,7/14/2013,38.5816667,-121.4933333,2013
barnegat light,nj,other,7200.0,8/24/2004,39.7575,-74.1066667,2004
campbell,ca,light,300.0,8/5/2012,37.2872222,-121.9488889,2012
oak lawn,il,circle,300.0,10/10/2011,41.7108333,-87.7580556,2011
richmond,mn,light,420.0,8/30/2013,45.4541667,-94.5180556,2013
paradise valley,az,circle,300.0,8/5/2009,33.5311111,-111.9419444,2009
miami,fl,disk,18000.0,4/8/2002,25.7738889,-80.1938889,2001
dateland,az,circle,600.0,8/24/2010,32.7963889,-113.5402778,1997
new york city,ny,sphere,1500.0,9/13/2002,40.7141667,-74.0063889,2002
madisonville,ky,light,5400.0,5/9/2003,37.3280556,-87.4988889,2003
auburn,wa,oval,60.0,2/14/2006,47.3075,-122.2272222,1952
americus,ga,light,1800.0,10/30/2006,32.0722222,-84.2327778,2005
ocala,fl,triangle,1800.0,2/16/2000,29.1869444,-82.1402778,1999
lake wales,fl,triangle,120.0,12/12/2009,27.9011111,-81.5861111,2009
burlingame,ks,triangle,7200.0,8/30/2010,38.7538889,-95.8347222,2010
waseca,mn,other,3600.0,6/6/2000,44.0777778,-93.5072222,1997
oregon city,or,sphere,120.0,12/12/2009,45.3575,-122.6055556,2009
phoenix,az,sphere,30.0,4/13/2010,33.4483333,-112.0733333,1993
winfield,wv,fireball,300.0,12/2/2000,38.5330556,-81.8936111,2000
tempe,az,fireball,300.0,2/10/2012,33.4147222,-111.9086111,2012
orlando,fl,sphere,60.0,3/4/2008,28.5380556,-81.3794444,2006
columbus junction,ia,light,180.0,7/5/2005,41.28,-91.3605556,2004
pensacola,fl,disk,60.0,6/12/2002,30.4211111,-87.2169444,2002
billings,mt,sphere,60.0,12/12/2011,45.7833333,-108.5,2011
lynn,ma,circle,30.0,1/10/2014,42.4666667,-70.95,2014
spring grove,mn,circle,7.0,8/5/2012,43.5611111,-91.6358333,2012
fort collins,co,light,120.0,8/5/2009,40.5852778,-105.0838889,2009
grand blanc,mi,light,120.0,3/19/2009,42.9275,-83.63,2009
san jose,ca,egg,300.0,10/31/2008,37.3394444,-121.8938889,2008
newport,mi,fireball,2700.0,9/24/2012,42.0022222,-83.3086111,2012
bartlett,tn,chevron,120.0,3/4/2008,35.2044444,-89.8738889,2007
santa rosa,ca,circle,6.0,3/11/2003,38.4405556,-122.7133333,2002
amityville,ny,formation,1200.0,7/22/2013,40.6788889,-73.4175,2013
ormond beach,fl,circle,7200.0,3/18/2014,29.2855556,-81.0561111,2014
miami,fl,disk,600.0,9/24/2012,25.7738889,-80.1938889,1967
muncie,in,rectangle,120.0,3/8/2007,40.1933333,-85.3863889,2007
canyon country,ca,circle,600.0,7/16/2006,34.4233333,-118.4711111,2006
folsom (over/cameron park),ca,triangle,300.0,12/23/2002,38.6780556,-121.175,2002
camarillo,ca,other,300.0,8/7/2011,34.2163889,-119.0366667,2008
plains,pa,light,240.0,5/24/2005,41.2752778,-75.8505556,2005
bartlett,il,triangle,600.0,7/5/2013,41.995,-88.1855556,2013
little rock,ar,triangle,60.0,5/3/2000,34.7463889,-92.2894444,2000
new haven,ct,sphere,1200.0,8/19/2000,41.3080556,-72.9286111,1983
paso robles,ca,flash,7.0,6/6/2000,35.6266667,-120.69,2000
boston (northwest of),ma,light,11.0,12/12/2011,42.3583333,-71.0602778,2011
middleton,wi,other,600.0,10/8/2007,43.0972222,-89.5041667,2007
neenah,wi,light,600.0,1/17/2004,44.1858333,-88.4625,1990
gaithersburg,md,light,180.0,10/11/2005,39.1433333,-77.2016667,2005
raleigh,nc,light,1.0,5/29/2012,35.7719444,-78.6388889,2012
rifle,co,fireball,30.0,4/27/2007,39.5347222,-107.7825,2007
holt (near),fl,disk,300.0,4/3/2011,30.7155556,-86.7458333,2011
groveport,oh,circle,300.0,7/14/2013,39.8783333,-82.8838889,2013
acworth,ga,light,7200.0,8/1/2003,34.0658333,-84.6769444,1999
cincinnati,oh,disk,600.0,5/13/2003,39.1619444,-84.4569444,1966
spokane,wa,disk,300.0,1/28/1999,47.6588889,-117.425,1971
wyandotte,mi,fireball,30.0,8/7/2007,42.2141667,-83.15,2007
birmingham,al,fireball,60.0,7/14/2013,33.5205556,-86.8025,2013
normandy beach,nj,triangle,4.0,7/13/2005,40.0025,-74.0608333,1994
bristol,va,light,900.0,7/14/2013,36.5963889,-82.1886111,2013
columbus,oh,light,15.0,8/5/2001,39.9611111,-82.9988889,2000
north tonawanda,ny,light,2.0,1/10/2009,43.0386111,-78.8644444,2008
faribault,mn,egg,300.0,10/10/2011,44.295,-93.2686111,2011
ewa beach,hi,fireball,3.0,10/8/2007,21.3155556,-158.0072222,2007
madison,al,triangle,60.0,1/24/2014,34.6991667,-86.7483333,2014
mojave (vicinity),ca,light,90.0,12/14/2004,35.0525,-118.1730556,1972
leander,tx,cylinder,1200.0,7/23/2000,30.5786111,-97.8527778,1998
woodstock,ga,triangle,10.0,8/5/2009,34.1013889,-84.5194444,2005
paragould,ar,flash,240.0,4/16/2005,36.0583333,-90.4972222,2005
myrtle beach,sc,circle,12.0,1/5/2011,33.6888889,-78.8869444,2010
franklin furnace,oh,light,5400.0,11/28/2007,38.645,-82.8488889,2007
st. louis park,mn,fireball,15.0,12/12/2011,44.9483333,-93.3477778,2011
houston,tx,fireball,3.0,10/30/2012,29.7630556,-95.3630556,2012
andover,ct,circle,7200.0,5/13/2012,41.7372222,-72.3708333,2012
poway,ca,triangle,1320.0,2/16/1999,32.9627778,-117.035,1997
springfield,mo,oval,10.0,8/5/2000,37.2152778,-93.2980556,2000
hesperia,ca,light,300.0,1/22/2004,34.4263889,-117.3,2004
ventura,ca,chevron,6.0,12/12/2009,34.2783333,-119.2922222,2009
snohomish,wa,oval,1200.0,4/26/2000,47.9130556,-122.0969444,1998
spring valley,ca,circle,120.0,1/10/2009,32.7447222,-116.9980556,2008
st. johnsbury,vt,circle,5.0,12/2/2013,44.4191667,-72.0155556,2013
new cumberland,pa,light,60.0,2/14/2006,40.2322222,-76.885,2006
charleston,sc,circle,3600.0,11/4/2002,32.7763889,-79.9311111,2001
boise,id,other,20.0,7/19/2010,43.6136111,-116.2025,2010
columbus,oh,other,600.0,12/12/2011,39.9611111,-82.9988889,2011
phoenix,az,light,900.0,6/12/2008,33.4483333,-112.0733333,2008
yakima,wa,light,180.0,5/12/2011,46.6022222,-120.5047222,2011
